"Country_Name"	"Region"	"Avg_GDP"	"Avg_Annual_Homicides"
"Morocco"	"Africa"	"8250.06"	"603"
"Nigeria"	"Africa"	"8246.77"	"47828"
"Philippines"	"Asia"	"8055.25"	"7556"
"Cape Verde"	"Africa"	"7932.29"	"46"
"Vietnam"	"Asia"	"7463.68"	"1347"
"India"	"Asia"	"6771.16"	"43738"
"Nicaragua"	"North America"	"6688.48"	"607"
"Samoa"	"Oceania"	"6603.43"	"11"
"Tonga"	"Oceania"	"6197.48"	"3"
"Mauritania"	"Africa"	"6093.03"	"49"
"Palestine"	"Asia"	"5984.28"	"26"
"Honduras"	"North America"	"5913.07"	"4952"
"Ghana"	"Africa"	"5831.7"	"540"
"Myanmar"	"Asia"	"5238.84"	"2366"
"Bangladesh"	"Asia"	"5154.98"	"3998"
"Sao Tome and Principe"	"Africa"	"4879.26"	"6"
"Pakistan"	"Asia"	"4875.43"	"10620"
"Kenya"	"Africa"	"4819.94"	"2201"
"Zimbabwe"	"Africa"	"4812.82"	"866"
"Cameroon"	"Africa"	"4605.93"	"1055"
"East Timor"	"Asia"	"4257.53"	"44"
"Tuvalu"	"Oceania"	"4010.92"	"1"
"Micronesia (country)"	"Oceania"	"3940.26"	"1"
"Cambodia"	"Asia"	"3816.76"	"300"
"Nepal"	"Asia"	"3779.9"	"634"
"Papua New Guinea"	"Oceania"	"3579.17"	"713"
"Zambia"	"Africa"	"3462.41"	"851"
"Vanuatu"	"Oceania"	"3386.04"	"2"
"Haiti"	"North America"	"3286.65"	"1446"
"Tanzania"	"Africa"	"3115.3"	"3390"
"Tajikistan"	"Asia"	"2915.5"	"131"
"Afghanistan"	"Asia"	"2821.39"	"2164"
"Sierra Leone"	"Africa"	"2644.81"	"153"
"Uganda"	"Africa"	"2554.29"	"4202"
"Guinea-Bissau"	"Africa"	"2317.83"	"43"
"Rwanda"	"Africa"	"2249.38"	"365"
"Kiribati"	"Oceania"	"2170.68"	"8"
"Liberia"	"Africa"	"1602.95"	"142"
"Ethiopia"	"Africa"	"1576.77"	"8153"
"Malawi"	"Africa"	"1518.59"	"381"
"Niger"	"Africa"	"1360.65"	"810"
"Mozambique"	"Africa"	"1249.88"	"862"
"Burundi"	"Africa"	"1008.81"	"536"
